score,deltaLkRoad,deltaDjRoad,deltaTotalJobsCreated,LBar,gameState0,gameState1,gameState2
-991.6135,21257.822,1491.5693,3000,15.081411,768,769,837
-991.60364,2294.301,199.61514,331,14.735163,-8188,-8189,8310
-991.601,11715.246,661.14996,1604,15.5218725,8120,8139,-8354
-991.59796,8200.753,656.89197,1311,13.28893,1937,1938,-2227
-991.584,20196.824,1008.24963,3000,14.278425,8403,8404,8434
-991.5658,17106.791,732.67255,1308,27.678455,-7488,7489,8242
-991.56494,870.0858,-192.86018,-40,46.029655,8285,-8300,-8394
-991.55084,24636.555,1094.2008,3000,17.348854,6009,6010,6328
-991.5446,11975.434,666.2521,1876,13.475661,-8041,8042,8183
-991.53937,22103.697,1236.3416,3000,15.544128,7454,7455,8194
-991.53156,4620.434,472.65115,1207,8.06857,-7813,7814,7817
-991.5263,12877.665,777.07465,1735,15.634736,8090,-8091,8428
-991.526,10014.151,809.0858,1799,11.725145,-8202,8203,8331
-991.5248,23398.457,1289.3658,3000,16.426306,8135,8137,8424
-991.5027,10887.969,417.03186,1000,22.87128,7451,7452,-7892
-991.48035,6867.381,360.08145,1000,14.387822,-7589,7619,8411
-991.46893,14323.5205,1242.0992,3000,9.989621,7912,7913,8359
-991.4663,12365.694,1099.6792,3000,8.62154,5420,5421,6169
-991.4658,5582.319,426.7753,1000,11.675523,7108,-7143,7151
-991.44965,13464.534,1239.6284,3000,9.36937,7885,7886,8346
-991.43225,9425.79,696.12854,1473,13.331294,-8127,8128,8336
-991.4269,10680.629,446.11804,1000,22.237339,-8130,8364,8406
-991.41754,17103.432,1356.1628,3000,11.856985,7079,7080,7172
-991.4128,6757.9946,426.6395,1000,14.047247,7866,-7910,8131
-991.4117,7288.6377,698.792,1787,8.476917,7872,7873,-8346
-991.40717,22548.13,1284.2739,3000,15.612674,7704,7705,8428
-991.4035,19127.305,1043.2808,3000,13.238391,5237,5238,5784
-991.3985,18711.457,771.2814,1529,25.395163,8293,8294,-8359
-991.3327,8658.367,465.9976,1000,17.831083,-8108,8109,8364
-991.3009,20497.83,1457.7689,3000,14.019685,521,522,788
-991.2901,8138.757,250.96536,1000,16.67892,7979,7980,-8200
-991.27246,6139.24,444.38638,1000,12.555875,-7844,7845,8189
-991.26227,11154.339,827.088,1713,13.301836,57,58,-630
-991.2354,9842.403,561.5125,1762,11.375985,7642,7643,-8421
-991.2248,9846.223,496.43524,1433,13.976285,7976,8209,-8384
-991.2154,6170.5566,331.97375,1000,12.53792,7514,-7865,7894
-991.2134,518.0323,-10.438319,71,14.821803,7477,-7478,-7512
-991.1794,14570.536,1246.6416,3000,9.828353,7464,7465,7811
-991.17035,2651.647,196.67757,488,10.984374,7464,-7465,-7785
-991.1644,3814.306,576.53156,1789,4.307213,-7932,7933,7943
-991.1572,27185.418,1282.4275,3000,18.291573,3438,3439,6185
-991.1523,23178.889,1338.4404,3000,15.587029,1406,1407,1531
-991.1375,11320.755,737.894,1870,12.192802,8114,8115,-8358
-991.1319,394.4899,81.82269,-98,8.102213,-8081,-8082,8330
-991.11926,7515.833,472.45328,1311,11.522566,8089,8090,-8307
-991.11865,32085.816,863.5562,1000,64.48478,8239,8240,-8268
-991.0616,22369.6,1251.8477,3000,14.890198,7498,7499,7606
-991.0605,3669.7527,352.3105,1000,7.3273644,8092,8093,-8302
-991.05023,6809.04,403.86325,1000,13.579978,-7884,7885,8396
-991.03955,20612.268,1101.5598,3000,13.68671,7652,7653,8402
-990.98663,9877.5625,371.1723,1000,19.560806,8358,-8361,8367
-990.96954,24612.908,1226.535,3000,16.216496,3003,3004,3819
-990.96533,21379.596,1117.8551,3000,14.0796175,7455,7456,8183
-990.95325,3403.94,369.28223,1000,6.716065,-7863,7864,7901
-990.9403,9168.086,282.45224,1000,18.062965,7983,7984,-8213
-990.94025,5344.923,407.43134,1138,9.253523,2275,-2276,2428
-990.93146,4073.2866,213.03802,578,13.870862,-8195,8196,-8352
-990.92804,3908.746,421.3402,1000,7.6906157,8197,-8198,8384
-990.91754,7477.554,557.179,1338,10.983054,209,210,-6184
-990.9055,13610.666,417.3326,1000,26.713106,7439,7440,-7831
-990.8662,6438.7573,450.2404,1000,12.58272,1086,1087,-1344
-990.862,6343.8164,439.1499,1000,12.39151,7887,-7888,8305
-990.84314,28705.115,1497.1024,3000,18.651575,8289,8290,8347
-990.8396,13677.345,538.9977,1000,26.65082,6306,6307,-6453
-990.81866,8582.901,793.06696,1891,8.823941,7820,7892,-8351
-990.8088,12051.217,759.9856,1713,13.662366,304,305,-630
-990.79987,5520.857,439.93555,1000,10.711146,8361,-8362,8389
-990.79175,6421.3066,340.00867,1000,12.447174,7915,-7916,7974
-990.7883,27560.16,1391.4121,3000,17.801146,8290,8291,8336
-990.78644,13429.605,575.4048,1000,26.017162,1257,1258,-3115
-990.7686,5400.2812,529.0682,1204,8.67257,7828,7829,-7896
-990.76,14154.37,731.79364,1691,16.169611,-8299,8300,8424
-990.7411,1550.983,-26.228144,-31,96.45189,-8005,8135,-8258
-990.72516,15473.964,1188.4856,3000,9.926517,7494,7495,7534
-990.7153,12099.063,645.53906,1713,13.578438,7644,7645,-8128
-990.69684,6180.3447,571.39667,1412,8.397913,-7472,7473,7799
-990.68335,21444.74,1138.9165,3000,13.695061,7670,7671,8412
-990.6724,10837.768,787.7337,1443,14.372414,7078,7079,-7187
-990.6605,5402.066,96.10213,175,58.9961,-7431,7432,-7642
-990.6568,12724.188,497.87378,1290,18.843782,8212,8367,-8386
-990.6506,28611.707,1364.011,3000,18.208035,7360,7361,7705
-990.6485,6202.4346,417.00366,1000,11.838765,-7891,7892,8104
-990.64557,7559.0376,496.43442,1242,11.613166,8121,-8122,8344
-990.6254,4716.4395,471.98383,1000,8.980248,7842,7843,-8207
-990.5776,14339.712,729.9494,1792,15.158803,-7358,7359,7654
-990.5668,5864.7007,356.0604,1000,11.09709,-8412,8413,8435
-990.5363,11946.881,432.3259,647,34.826843,-8037,8284,-8338
-990.5202,10632.035,491.56918,1000,20.018934,8370,-8431,8435
-990.51654,14006.737,1208.4335,3000,8.78768,7528,7529,7833
-990.44965,9528.668,618.9397,1641,10.852458,-7714,7715,7745
-990.44305,27526.453,1201.2317,3000,17.136976,8366,8367,8373
-990.4183,14204.572,1221.5087,3000,8.820399,7890,7891,8388
-990.41626,4384.5093,364.40808,1000,8.166005,7896,7898,-8361
-990.41473,14343.619,1286.8721,3000,8.90343,7833,7900,8356
-990.3719,17236.822,464.6688,1000,31.955112,4594,4595,-6266
-990.3691,4024.1438,340.8137,772,9.660793,-7471,7472,-8209
-990.3548,12063.902,812.26654,1365,16.355673,8289,-8290,8333
-990.3513,6037.7905,515.5688,1389,8.041422,-7469,7470,7877
-990.3199,15156.792,1286.2449,3000,9.316006,7462,7463,7846
-990.30286,6611.3184,608.9808,1535,7.9279633,7464,7810,-7846
-990.3016,7148.407,386.75012,1000,13.156288,-8115,8116,8299
-990.2964,6945.0396,538.38043,1139,11.216099,-12,13,798
-990.233,8298.434,779.71515,1880,8.06678,7784,7848,-8316
-990.2277,2339.9631,186.81194,389,10.987204,-8112,8344,-8350
-990.22314,11998.525,646.35565,1634,13.406094,-8211,8212,8399
-990.1872,7833.5156,650.81946,1751,8.137723,8190,8191,-8393
-990.1378,20222.559,882.7852,3000,12.2001505,4372,4373,4438
-990.10114,34730.08,1479.0004,3000,20.87489,3723,3724,4753
-990.0806,10881.732,751.8185,1664,11.767518,-8090,8091,8308
-990.07825,25968.123,515.7669,1000,46.717175,8281,8282,-8392
-990.05005,18890.033,1394.2117,3000,11.295715,582,583,790
-990.03876,18427.518,720.50323,1694,19.492323,4771,-4837,4881
-990.0283,8205.087,639.36646,1504,9.765444,-6970,6971,6992
-989.9825,7984.7173,732.10535,1802,7.8953066,-7791,7792,7900
-989.9371,21995.271,1156.4225,3000,13.004926,8406,8418,8434
-989.92847,489.17642,134.38037,-15,57.79672,7320,-7321,-7506
-989.91925,5091.2764,189.57849,234,38.52505,-7440,7442,-7645
-989.89056,5959.874,454.10196,1000,10.522875,-437,438,902
-989.8796,17058.998,1244.7424,3000,10.029013,8203,8204,8392
-989.8734,11474.633,1078.5897,3000,6.741846,7543,7544,7608
-989.8551,190.07971,-31.56882,-8,41.804436,-8069,8070,-8387
-989.8531,4805.1597,494.21582,1079,7.833873,-8297,8298,8347
-989.8436,21216.965,1152.0409,3000,12.429336,7981,7982,8394
-989.8412,9270.655,540.6735,1000,16.288925,-8044,8045,8263
-989.8324,5553.986,428.63013,1000,9.75016,7843,-7844,8386
-989.81726,7441.8145,399.44894,1000,13.044808,-7612,7613,7692
-989.76263,2815.8608,245.11914,624,7.8679943,-7791,-7792,7901
-989.76196,7359.294,615.2969,1649,7.7807875,-7531,7532,8004
-989.7492,13458.535,1251.0642,3000,7.811668,7843,7844,7884
-989.73615,13143.086,882.1764,1840,12.422079,-8126,8127,8315
-989.71497,22146.277,512.8501,1000,38.434353,-8314,8350,8383
-989.707,10305.09,413.8094,1000,17.870375,-681,682,4986
-989.67883,9431.166,827.04987,1824,8.942024,-8329,8330,8358
-989.6578,6313.5728,372.94696,1000,10.896489,-1772,1773,4224
-989.6573,7113.8784,147.0934,368,33.361767,-8376,8382,-8434
-989.6492,4918.6304,426.18362,1000,8.481896,-8320,8337,8354
-989.6055,9147.209,668.201,1774,8.854359,8209,8210,-8391
-989.5865,1618.4089,10.307327,-31,89.48575,-8258,8378,-8408
-989.57745,4134.7935,197.70937,1000,7.0811768,8041,-8042,8059
-989.5748,1353.6559,-25.647411,69,33.589294,-8304,-8349,8372
