idx,score,depth,netChgRoad,netChgBus,netChgRail,netSavedMinsRoad,netSavedMinsBus,netSavedMinsRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9
51,-201.83188,10,0,0,156783,0,0,278.2394,0,0,1020931.25,-1181.6464842104247,-747.8282464607182,1929.4747305048147,-20697.517730746775,-23589.168343333542,76923.09440841727,102.54831,246.99384,   4357,8,   5383,5443,   8305,7522,   2811,2763,   4861,4846,   
52,-1174.0836,10,0,0,1167589,0,0,161.27522,0,0,2965559,-6880.255210087128,-2509.4460485218624,9389.701258821799,-118866.83140221883,-28778.67059141442,433820.8397277395,101.24222,169.11893,   1501,3809,   1421,1587,   5290,5260,   4393,4475,   2625,2608,   
53,-364.6286,10,0,0,1966330,0,0,106.29521,0,0,2872225.5,-1325.6448573984708,-445.8661206513969,1771.5109778601573,-20301.30176234246,-4964.476880585271,104848.37599659807,55.676662,160.67606,   4151,3184,   1966,6756,   6414,6411,   1911,6015,   5241,5272,   
54,-382.18582,10,0,0,1949818,0,0,159.19481,0,0,10931179,-2536.5526599817304,-1587.4358135569028,4123.9884754650375,-40910.838477403646,-29498.0048309311,220093.13251086857,107.04437,360.8482,   3121,3056,   2785,2814,   7737,7556,   7633,7634,   7583,7588,   
55,-686.22284,10,0,0,1182685,0,0,146.39944,0,0,1132622.2,-3469.7397727371117,-838.4815541948578,4308.221327519495,-59315.20073928311,-9462.537045026545,168865.00825019376,86.437225,128.36275,   396,716,   5895,5903,   5917,3087,   4729,3571,   5919,3050,   
56,-1964.3312,10,0,0,1172126,0,0,143.06572,0,0,5330527,-9402.28514234704,-2032.728861258281,11435.01400002165,-161433.28689008,-21769.79906468351,637919.1688734278,82.18231,116.03821,   4471,730,   5327,5328,   476,369,   6631,2234,   715,568,   
57,-330.9514,10,0,0,464827,0,0,150.07446,0,0,2144726.8,-1732.7706176290208,-835.4390524386745,2568.209666983771,-29812.71111211591,-10716.23731153618,150026.4769283226,90.08184,248.67497,   7812,7976,   7078,7175,   4646,6270,   4067,2950,   6708,5244,   
58,-464.49103,10,0,0,234830,0,0,103.75791,0,0,827913.6,-1756.3374340219652,-692.6772657974755,2449.0146995934256,-30361.0226833358,-12685.855309136228,78304.20319339787,65.36407,220.21922,   5344,5339,   7857,7466,   3031,6063,   4837,3799,   2469,2343,   
59,-656.8884,10,0,0,640661,0,0,166.68898,0,0,4520391,-3715.7792321662623,-1468.013472507908,5183.792702827986,-69033.5807735452,-20850.59106596981,250797.80537596284,105.09179,257.79083,   7879,7456,   1052,1097,   1260,4566,   6158,4496,   6673,5268,   
60,-227.7753,10,0,0,44880,0,0,176.97998,0,0,334465.47,-931.2398499552845,-566.0809784984239,1497.3208287256132,-15550.23117745377,-11864.755064722665,51417.169292869155,68.27005,125.944595,   3262,3265,   6959,6960,   3025,4054,   6611,6598,   3022,6065,   
61,-278.48978,10,0,0,62462,0,0,122.00422,0,0,183720.23,-1343.2564366039974,-418.00720690928085,1761.26364494005,-23541.113048358256,-7360.26281159345,61066.53174593856,84.531334,325.3923,   8137,7794,   3506,3532,   5552,5564,   4918,807,   7854,7785,   
62,-122.63554,10,0,0,102328,0,0,142.77519,0,0,247462.36,-504.69502078677783,-182.1018834853194,686.7969040909314,-9608.430859494387,-2157.910963940693,30494.952617529554,78.34948,195.6502,   5659,5625,   2962,6603,   4688,4688,   3222,4187,   6305,6277,   
63,-2290.5225,10,0,0,2165605,0,0,232.03033,0,0,9474929,-12666.185934065292,-2846.525807302517,15512.711745117927,-243400.91046516522,-35577.84109344328,973315.991972661,106.26436,144.43185,   728,537,   4470,161,   570,429,   6631,2173,   5634,5649,   
64,-1124.0106,10,0,0,543108,0,0,154.80743,0,0,1745564.4,-5883.786548727132,-1444.2783880020518,7328.0649352999935,-100120.4392304468,-14677.006897739375,400892.03530807886,89.07428,375.566,   721,890,   8146,8145,   2943,5721,   5060,6440,   5664,2832,   
65,-1165.5516,10,0,0,861533,0,0,142.55264,0,0,2646654,-6850.717250421287,-1832.2314001122288,8682.948649280033,-116995.04784742107,-21754.24935299661,519371.5979863887,100.3774,283.53558,   2299,2279,   918,691,   17,4886,   7675,7461,   7199,7076,   
66,-691.4307,10,0,0,1144083,0,0,129.19444,0,0,5474826.5,-3436.818256052989,-992.1890351853586,4429.007296447689,-60209.04817276606,-9475.83395095457,256195.98829797131,87.078926,188.25838,   1334,1066,   459,865,   6737,4937,   5986,2078,   1516,1478,   
67,-1970.0891,10,0,0,1128771,0,0,94.51292,0,0,3851182.8,-6731.259931551471,-1440.3963194584885,8171.656253200267,-124756.64209034834,-17120.665575042203,547122.3191857352,63.32538,281.51968,   1121,980,   7906,7517,   858,4870,   4188,4691,   3563,4717,   
68,-488.47604,10,0,0,478369,0,0,144.87842,0,0,1444357.5,-1766.3308826666735,-725.1536388345852,2491.48452088915,-32640.390620293656,-14838.061139775158,103751.20005962039,66.82086,202.08203,   2620,2623,   7069,7106,   3566,6533,   2812,5371,   1015,1016,   
69,-364.6179,10,0,0,1037373,0,0,158.52441,0,0,5395377,-2338.6062251284848,-963.2651268249625,3301.871352347342,-40625.79469572546,-11895.147816410035,179124.81850030692,111.42018,243.71571,   3903,3907,   5643,2297,   5574,5607,   6048,2030,   5137,5179,   
70,-430.7207,10,0,0,321120,0,0,154.66791,0,0,1005951.6,-2249.0335529354716,-801.2853118775944,3050.3188629765923,-40354.223487341296,-9479.365483514255,148785.75101185346,93.69,245.37773,   8307,7846,   5884,5882,   822,237,   1583,6856,   4235,1784,   
71,-795.9656,10,0,0,310349,0,0,166.01831,0,0,1717054.8,-3481.9126622476,-1498.3701694151657,4980.282834576133,-72630.09595649636,-27661.74808258354,252594.97872432088,91.24778,115.244675,   3610,5508,   5325,6724,   1160,3116,   3680,3692,   2027,6390,   
72,-622.3217,10,0,0,188144,0,0,216.07834,0,0,930160.8,-4281.113463058385,-1458.9875268839612,5740.100987373855,-74220.03780917679,-15367.619191524005,280658.46257320547,119.26314,191.00687,   1594,3805,   3805,1492,   1459,1119,   6942,6948,   3304,4478,   
73,-755.74084,10,0,0,515494,0,0,351.65845,0,0,2377707,-5482.1656144242625,-1982.86852164455,7465.034135684448,-81129.54507961651,-23144.261113990113,414997.6609481877,107.35101,234.66713,   1538,1293,   2820,2806,   7393,7368,   6807,6803,   3538,3571,   
74,-2803.9668,10,0,0,1814906,0,0,141.87018,0,0,7169841.5,-16346.415464586998,-3840.3528569728514,20186.768314617646,-257672.3618868862,-36035.36195065059,1095976.962028788,91.89565,132.9459,   6527,4711,   3578,3537,   6032,3844,   852,767,   694,7,   
75,-136.77928,10,0,0,88242,0,0,65.70499,0,0,223295.53,-374.43755509812587,-187.79545166900482,562.2330065673467,-6429.682933042177,-3238.8664219041198,17564.678124249484,47.00773,228.8875,   3163,3149,   526,3441,   5377,5394,   1126,1596,   4749,4762,   
76,-403.8252,10,0,0,367745,0,0,216.50906,0,0,1411337,-2654.898502997754,-861.0782651982806,3515.9767696628505,-43935.21657104814,-8973.977973074774,155343.2676098457,108.79761,309.1895,   6919,6916,   4604,3580,   7763,7423,   5332,5314,   975,1018,   
77,-1729.0406,10,0,0,1447981,0,0,83.711815,0,0,4473463.5,-6307.120936625593,-1621.1361454788655,7928.257082381851,-122260.0018679528,-19549.465264302486,429286.6382428071,70.70973,179.49506,   7142,7189,   996,964,   536,4737,   3031,3016,   2713,2734,   
78,-218.62537,10,0,0,847205,0,0,230.46933,0,0,1796879.2,-1110.3877677691435,-401.5866732701294,1511.9744417033,-20583.19716598693,-6468.480553271232,90328.92924600383,94.148254,205.95688,   2526,2455,   5357,5338,   7723,7361,   1107,1379,   8084,8291,   
79,-573.48865,10,0,0,727704,0,0,194.1599,0,0,2325696.2,-2428.574485764119,-714.8788681921957,3143.453354802488,-40089.89967679127,-8540.909900437387,122669.65064910281,69.905304,330.2891,   7343,7341,   7500,7717,   3295,3344,   6669,2570,   820,573,   
80,-665.71173,10,0,0,427107,0,0,146.11803,0,0,2624756.5,-3287.030726092464,-824.2672110798736,4111.297938064684,-60847.43955868674,-9591.894014719963,205922.51414230914,91.402084,330.93387,   7289,7276,   4734,4864,   1354,1116,   517,53,   5974,5967,   
81,-630.8828,10,0,0,667108,0,0,222.66096,0,0,3310586.2,-4066.991440254493,-1609.7511127048417,5676.742552039611,-68058.46614613649,-21514.14780697478,298717.25617149577,107.87814,185.97932,   7103,7190,   2861,2926,   3353,3312,   7045,7002,   2496,2546,   
82,-915.0253,10,0,0,588774,0,0,137.28137,0,0,1669874.8,-5265.818662174395,-1071.353660271061,6337.172322456368,-95578.51386431349,-12110.93082851996,351531.21712394257,104.454506,108.22361,   868,73,   650,500,   2218,2244,   801,446,   5388,5473,   
