score,depth,netChgRoad,netChgBus,netChgRail,savedMinsRoad,savedMinsBus,savedMinsRail,deltaDkRoad,deltaDkBus,deltaDkRail,deltaLkRoad,deltaLkBus,deltaLkRail,railNetworkKM,LBar,gameState0,gameState1,gameState2,gameState3,gameState4,gameState5,gameState6,gameState7,gameState8,gameState9,gameState10,gameState11,gameState12,gameState13,gameState14,gameState15,gameState16,gameState17,gameState18,gameState19,gameState20,gameState21,gameState22,gameState23,gameState24,gameState25,gameState26,gameState27,gameState28,gameState29,gameState30,gameState31,gameState32,gameState33,gameState34,gameState35,gameState36,gameState37,gameState38,gameState39
-20.51425,40,0,0,23397789,0,0,778063000,-7377.215755367816,-2303.4332164011444,9680.648975495742,-122308.59583573701,-24157.512121156495,1369949.0252792528,5962.1284,260.9474,   5280,7208,   1872,2134,   4901,2310,   1037,2330,   6446,7937,   4513,7944,   3063,1360,   4487,5531,   6647,2178,   3972,484,   997,477,   2801,3729,   7489,2666,   7921,1765,   1069,1801,   4335,3990,   6728,1771,   6896,1068,   2971,2249,   1480,4377,   
-22.38135,40,0,0,21969613,0,0,558878100,-7160.911917983067,-2541.168251250225,9702.080169527206,-117938.54624177226,-28139.95405883336,2271473.4033526597,5269.501,275.79434,   1383,1305,   1940,5173,   6701,3542,   6001,4136,   7929,5060,   8237,6824,   6750,4383,   6983,4803,   4407,6578,   3080,2235,   2825,7708,   1260,4644,   3602,522,   1215,1292,   2900,3419,   2559,4397,   698,8031,   7536,8127,   6972,6063,   5464,3947,   
-21.608017,40,0,0,25289990,0,0,646805440,-6317.773607580424,-3170.5436797565626,9488.317289586832,-99750.91118997535,-42982.75859800023,1516262.0198545312,4616.3843,238.89114,   5100,3785,   2271,4444,   2000,5946,   5676,2345,   3223,2092,   5096,4828,   7605,7681,   1551,2111,   44,5731,   1571,6179,   2326,4709,   1236,4510,   2500,3839,   6126,7155,   5282,7292,   6267,6779,   1114,7568,   5570,7476,   5437,5251,   2644,6091,   
-35.212624,40,0,0,20865068,0,0,594203600,-9364.586167483561,-3244.881914127194,12609.468086039147,-189133.1942840156,-48785.78508718856,2089609.6356408952,5371.176,257.61038,   3282,7305,   6505,807,   6758,6166,   5228,1452,   6479,5425,   8083,1240,   4492,7720,   1620,391,   2549,6197,   1944,6596,   8255,6956,   5499,4367,   4261,6753,   3714,36,   2111,2511,   5110,3228,   3087,3915,   2897,3457,   6640,428,   6187,4769,   
-30.368652,40,0,0,26821765,0,0,1.00194285E+09,-7935.714258539168,-2136.308386326284,10072.022647296479,-146127.23545955124,-24685.79597781482,1366212.3280394042,4811.779,263.35,   7047,4674,   675,8293,   7644,5026,   2286,1829,   5948,5179,   4927,7676,   3307,4484,   6271,4761,   1806,2138,   4981,5,   2452,5192,   7777,3968,   315,4854,   6589,576,   4823,6599,   2186,2120,   9,5610,   7984,3581,   6281,5641,   5158,7671,   
-11.724566,40,0,0,24289355,0,0,778978200,-3115.007516056836,-1640.6981994502614,4755.70571436523,-59123.36549421412,-38935.981710279564,962929.4415645172,5042.691,226.3079,   4466,1884,   2523,5368,   6019,5870,   8356,7038,   6080,6571,   1650,4502,   3883,6181,   2317,1855,   5333,5142,   7977,2789,   6873,1710,   5442,7785,   2992,2807,   7666,6133,   4935,2689,   6916,4600,   5415,5746,   3974,568,   2668,2408,   6384,2881,   
-12.627405,40,0,0,27941418,0,0,844465900,-4530.759194727195,-1949.847486259854,6480.606682948155,-71852.11567668889,-29624.347162600596,1644974.504358038,5690.173,259.78046,   4934,7986,   2931,6687,   4949,6120,   6672,2263,   3293,6129,   6684,1138,   6099,2368,   797,2756,   4878,3174,   2376,3212,   6640,2223,   2103,3390,   8091,5485,   7522,6573,   2207,1749,   7622,2924,   7194,5096,   6291,7322,   7214,7190,   2836,5307,   
-15.372594,40,0,0,24754956,0,0,711355650,-5008.764391577298,-2411.3962670985234,7420.160658913146,-86962.66626075207,-74542.87138911219,1844321.2359032629,5656.9937,277.36023,   4570,5402,   2840,7241,   4441,5777,   6936,3047,   4948,1217,   4125,7930,   32,3171,   4677,2710,   5883,7977,   7032,7899,   7034,98,   56,1544,   6942,3760,   2380,1003,   4512,1910,   3978,6124,   338,5504,   7078,1237,   7818,3297,   7385,2313,   
-36.87998,40,0,0,28527617,0,0,939446460,-11179.00523352464,-3966.826669071277,15145.831900678513,-178968.37492517225,-45357.326348200055,3067706.2214585096,4852.7246,259.49936,   6984,4475,   1624,989,   6059,8128,   2891,4022,   419,3580,   1439,7673,   157,3372,   6709,4471,   5345,1296,   298,680,   3397,5933,   6970,3037,   5675,6437,   7591,2964,   4529,3439,   3328,2585,   591,4719,   915,2558,   6910,7502,   3920,7250,   
-19.128086,40,0,0,22257171,0,0,1.0061468E+09,-6661.251789957486,-1458.4130690442134,8119.664858765291,-116699.67713391213,-16472.016355838525,977773.9679296928,6100.9595,293.89624,   869,6794,   583,931,   471,4741,   5966,5402,   7231,2606,   4328,6522,   2998,6704,   7351,1050,   5940,7023,   3750,8057,   537,8363,   7928,5416,   252,7289,   7081,3874,   2457,4150,   5997,6279,   5811,1484,   8247,5039,   5350,6039,   2566,934,   
